Tue Jul 23 07:48:54 2024       
+---------------------------------------------------------------------------------------+
| NVIDIA-SMI 535.54.03              Driver Version: 535.54.03    CUDA Version: 12.2     |
|-----------------------------------------+----------------------+----------------------+
| GPU  Name                 Persistence-M | Bus-Id        Disp.A | Volatile Uncorr. ECC |
| Fan  Temp   Perf          Pwr:Usage/Cap |         Memory-Usage | GPU-Util  Compute M. |
|                                         |                      |               MIG M. |
|=========================================+======================+======================|
|   0  NVIDIA A100-SXM4-40GB          On  | 00000000:9E:00.0 Off |                    0 |
| N/A   24C    P0              53W / 400W |      4MiB / 40960MiB |      0%      Default |
|                                         |                      |             Disabled |
+-----------------------------------------+----------------------+----------------------+
                                                                                         
+---------------------------------------------------------------------------------------+
| Processes:                                                                            |
|  GPU   GI   CI        PID   Type   Process name                            GPU Memory |
|        ID   ID                                                             Usage      |
|=======================================================================================|
|  No running processes found                                                           |
+---------------------------------------------------------------------------------------+
Start training
“Step2....................”
“Step3....................”
constructing 9 ConvTransformerEncoderLayers
Ranger optimizer loaded. 
Gradient Centralization usage = True
GC applied to both conv and fc layers

  0%|          | 0/182 [00:00<?, ?it/s]/work/02/gs58/d58004/mambaforge/envs/torch/lib/python3.9/site-packages/torch/utils/checkpoint.py:429: UserWarning: torch.utils.checkpoint: please pass in use_reentrant=True or use_reentrant=False explicitly. The default value of use_reentrant will be updated to be False in the future. To maintain current behavior, pass use_reentrant=True. It is recommended that you use use_reentrant=False. Refer to docs for more details on the differences between the two variants.
  warnings.warn(
/work/02/gs58/d58004/ideas/RibonanzaNet/Ranger-Deep-Learning-Optimizer/ranger/ranger.py:138: UserWarning: This overload of addcmul_ is deprecated:
	addcmul_(Number value, Tensor tensor1, Tensor tensor2)
Consider using one of the following signatures instead:
	addcmul_(Tensor tensor1, Tensor tensor2, *, Number value) (Triggered internally at ../torch/csrc/utils/python_arg_parser.cpp:1519.)
  exp_avg_sq.mul_(beta2).addcmul_(1 - beta2, grad, grad)

Epoch 1 Loss: 0.05782541632652283:   0%|          | 0/182 [00:14<?, ?it/s]
Epoch 1 Loss: 0.05782541632652283:   1%|          | 1/182 [00:14<42:18, 14.02s/it]
Epoch 1 Loss: 0.05736131593585014:   1%|          | 1/182 [00:15<42:18, 14.02s/it]
Epoch 1 Loss: 0.05736131593585014:   1%|          | 2/182 [00:15<20:25,  6.81s/it]
Epoch 1 Loss: 0.05869631345073382:   1%|          | 2/182 [00:17<20:25,  6.81s/it]
Epoch 1 Loss: 0.05869631345073382:   2%|▏         | 3/182 [00:17<13:20,  4.47s/it]
Epoch 1 Loss: 0.05930727533996105:   2%|▏         | 3/182 [00:19<13:20,  4.47s/it]
Epoch 1 Loss: 0.05930727533996105:   2%|▏         | 4/182 [00:19<09:59,  3.37s/it]
Epoch 1 Loss: 0.05780181512236595:   2%|▏         | 4/182 [00:20<09:59,  3.37s/it]
Epoch 1 Loss: 0.05780181512236595:   3%|▎         | 5/182 [00:20<08:08,  2.76s/it]
Epoch 1 Loss: 0.057291263714432716:   3%|▎         | 5/182 [00:22<08:08,  2.76s/it]
Epoch 1 Loss: 0.057291263714432716:   3%|▎         | 6/182 [00:22<07:03,  2.41s/it]
Epoch 1 Loss: 0.05651695228048733:   3%|▎         | 6/182 [00:24<07:03,  2.41s/it] 
Epoch 1 Loss: 0.05651695228048733:   4%|▍         | 7/182 [00:24<06:20,  2.18s/it]
Epoch 1 Loss: 0.056636813562363386:   4%|▍         | 7/182 [00:25<06:20,  2.18s/it]
Epoch 1 Loss: 0.056636813562363386:   4%|▍         | 8/182 [00:25<05:51,  2.02s/it]
Epoch 1 Loss: 0.05733128512899081:   4%|▍         | 8/182 [00:27<05:51,  2.02s/it] 
Epoch 1 Loss: 0.05733128512899081:   5%|▍         | 9/182 [00:27<05:31,  1.92s/it]
Epoch 1 Loss: 0.05718379803001881:   5%|▍         | 9/182 [00:29<05:31,  1.92s/it]
Epoch 1 Loss: 0.05718379803001881:   5%|▌         | 10/182 [00:29<05:17,  1.85s/it]
Epoch 1 Loss: 0.057260980998927895:   5%|▌         | 10/182 [00:31<05:17,  1.85s/it]
Epoch 1 Loss: 0.057260980998927895:   6%|▌         | 11/182 [00:31<05:07,  1.80s/it]
Epoch 1 Loss: 0.056931657095750175:   6%|▌         | 11/182 [00:32<05:07,  1.80s/it]
Epoch 1 Loss: 0.056931657095750175:   7%|▋         | 12/182 [00:32<05:00,  1.77s/it]
Epoch 1 Loss: 0.05638937938671846:   7%|▋         | 12/182 [00:34<05:00,  1.77s/it] 
Epoch 1 Loss: 0.05638937938671846:   7%|▋         | 13/182 [00:34<04:54,  1.74s/it]
Epoch 1 Loss: 0.056915488094091415:   7%|▋         | 13/182 [00:36<04:54,  1.74s/it]
Epoch 1 Loss: 0.056915488094091415:   8%|▊         | 14/182 [00:36<04:49,  1.73s/it]
Epoch 1 Loss: 0.05721473818024:   8%|▊         | 14/182 [00:37<04:49,  1.73s/it]    
Epoch 1 Loss: 0.05721473818024:   8%|▊         | 15/182 [00:37<04:46,  1.71s/it]
Epoch 1 Loss: 0.05744733661413193:   8%|▊         | 15/182 [00:39<04:46,  1.71s/it]
Epoch 1 Loss: 0.05744733661413193:   9%|▉         | 16/182 [00:39<04:43,  1.71s/it]
Epoch 1 Loss: 0.057101018726825714:   9%|▉         | 16/182 [00:41<04:43,  1.71s/it]
Epoch 1 Loss: 0.057101018726825714:   9%|▉         | 17/182 [00:41<04:40,  1.70s/it]
Epoch 1 Loss: 0.0573765200873216:   9%|▉         | 17/182 [00:42<04:40,  1.70s/it]  
Epoch 1 Loss: 0.0573765200873216:  10%|▉         | 18/182 [00:42<04:38,  1.70s/it]
Epoch 1 Loss: 0.05713834888056705:  10%|▉         | 18/182 [00:44<04:38,  1.70s/it]
Epoch 1 Loss: 0.05713834888056705:  10%|█         | 19/182 [00:44<04:36,  1.70s/it]
Epoch 1 Loss: 0.05704560596495867:  10%|█         | 19/182 [00:46<04:36,  1.70s/it]
Epoch 1 Loss: 0.05704560596495867:  11%|█         | 20/182 [00:46<04:34,  1.69s/it]
Epoch 1 Loss: 0.057093502155372074:  11%|█         | 20/182 [00:47<04:34,  1.69s/it]
Epoch 1 Loss: 0.057093502155372074:  12%|█▏        | 21/182 [00:47<04:32,  1.69s/it]
Epoch 1 Loss: 0.056889109990813515:  12%|█▏        | 21/182 [00:49<04:32,  1.69s/it]
Epoch 1 Loss: 0.056889109990813515:  12%|█▏        | 22/182 [00:49<04:30,  1.69s/it]
Epoch 1 Loss: 0.05628714451323385:  12%|█▏        | 22/182 [00:51<04:30,  1.69s/it] 
Epoch 1 Loss: 0.05628714451323385:  13%|█▎        | 23/182 [00:51<04:28,  1.69s/it]
Epoch 1 Loss: 0.0559066414522628:  13%|█▎        | 23/182 [00:52<04:28,  1.69s/it] 
Epoch 1 Loss: 0.0559066414522628:  13%|█▎        | 24/182 [00:52<04:27,  1.69s/it]
Epoch 1 Loss: 0.05573975309729576:  13%|█▎        | 24/182 [00:54<04:27,  1.69s/it]
Epoch 1 Loss: 0.05573975309729576:  14%|█▎        | 25/182 [00:54<04:25,  1.69s/it]
Epoch 1 Loss: 0.05568701659257595:  14%|█▎        | 25/182 [00:56<04:25,  1.69s/it]
Epoch 1 Loss: 0.05568701659257595:  14%|█▍        | 26/182 [00:56<04:23,  1.69s/it]
Epoch 1 Loss: 0.05575825674114404:  14%|█▍        | 26/182 [00:58<04:23,  1.69s/it]
Epoch 1 Loss: 0.05575825674114404:  15%|█▍        | 27/182 [00:58<04:21,  1.69s/it]
Epoch 1 Loss: 0.055583378433116844:  15%|█▍        | 27/182 [00:59<04:21,  1.69s/it]
Epoch 1 Loss: 0.055583378433116844:  15%|█▌        | 28/182 [00:59<04:20,  1.69s/it]
Epoch 1 Loss: 0.05578323890422952:  15%|█▌        | 28/182 [01:01<04:20,  1.69s/it] 
Epoch 1 Loss: 0.05578323890422952:  16%|█▌        | 29/182 [01:01<04:18,  1.69s/it]
Epoch 1 Loss: 0.05561154782772064:  16%|█▌        | 29/182 [01:03<04:18,  1.69s/it]
Epoch 1 Loss: 0.05561154782772064:  16%|█▋        | 30/182 [01:03<04:17,  1.69s/it]
Epoch 1 Loss: 0.05551456756168796:  16%|█▋        | 30/182 [01:04<04:17,  1.69s/it]
Epoch 1 Loss: 0.05551456756168796:  17%|█▋        | 31/182 [01:04<04:15,  1.69s/it]
Epoch 1 Loss: 0.05574152967892587:  17%|█▋        | 31/182 [01:06<04:15,  1.69s/it]
Epoch 1 Loss: 0.05574152967892587:  18%|█▊        | 32/182 [01:06<04:13,  1.69s/it]
Epoch 1 Loss: 0.055429461327466095:  18%|█▊        | 32/182 [01:08<04:13,  1.69s/it]
Epoch 1 Loss: 0.055429461327466095:  18%|█▊        | 33/182 [01:08<04:11,  1.69s/it]
Epoch 1 Loss: 0.05524933097117087:  18%|█▊        | 33/182 [01:09<04:11,  1.69s/it] 
Epoch 1 Loss: 0.05524933097117087:  19%|█▊        | 34/182 [01:09<04:09,  1.69s/it]
Epoch 1 Loss: 0.05525155844432967:  19%|█▊        | 34/182 [01:11<04:09,  1.69s/it]
Epoch 1 Loss: 0.05525155844432967:  19%|█▉        | 35/182 [01:11<04:08,  1.69s/it]
Epoch 1 Loss: 0.0553541968887051:  19%|█▉        | 35/182 [01:13<04:08,  1.69s/it] 
Epoch 1 Loss: 0.0553541968887051:  20%|█▉        | 36/182 [01:13<04:06,  1.69s/it]
Epoch 1 Loss: 0.05527351152252506:  20%|█▉        | 36/182 [01:14<04:06,  1.69s/it]
Epoch 1 Loss: 0.05527351152252506:  20%|██        | 37/182 [01:14<04:05,  1.69s/it]
Epoch 1 Loss: 0.055369178813539054:  20%|██        | 37/182 [01:16<04:05,  1.69s/it]
Epoch 1 Loss: 0.055369178813539054:  21%|██        | 38/182 [01:16<04:03,  1.69s/it]
Epoch 1 Loss: 0.05521634736886391:  21%|██        | 38/182 [01:18<04:03,  1.69s/it] 
Epoch 1 Loss: 0.05521634736886391:  21%|██▏       | 39/182 [01:18<04:01,  1.69s/it]
Epoch 1 Loss: 0.05505252648144961:  21%|██▏       | 39/182 [01:19<04:01,  1.69s/it]
Epoch 1 Loss: 0.05505252648144961:  22%|██▏       | 40/182 [01:19<03:59,  1.69s/it]
Epoch 1 Loss: 0.0552515892720804:  22%|██▏       | 40/182 [01:21<03:59,  1.69s/it] 
Epoch 1 Loss: 0.0552515892720804:  23%|██▎       | 41/182 [01:21<03:57,  1.69s/it]
Epoch 1 Loss: 0.05507932097784111:  23%|██▎       | 41/182 [01:23<03:57,  1.69s/it]
Epoch 1 Loss: 0.05507932097784111:  23%|██▎       | 42/182 [01:23<03:56,  1.69s/it]
Epoch 1 Loss: 0.05519319923464642:  23%|██▎       | 42/182 [01:25<03:56,  1.69s/it]
Epoch 1 Loss: 0.05519319923464642:  24%|██▎       | 43/182 [01:25<03:54,  1.69s/it]
Epoch 1 Loss: 0.05561118412085555:  24%|██▎       | 43/182 [01:26<03:54,  1.69s/it]
Epoch 1 Loss: 0.05561118412085555:  24%|██▍       | 44/182 [01:26<03:53,  1.69s/it]
